row_id,_source_file,month_start,year,month,booking_location,tankers_booked,tankers_delivered,delivery_gap,index,division,section,noofbookings,delivered
R108,tankers_reports_2024_12.csv,2024-12-01,2024,12,,31,31,0,107,11,MANSOORABAD,31,31
R109,tankers_reports_2024_12.csv,2024-12-01,2024,12,,11,11,0,108,11,NAGOLE,11,11
R110,tankers_reports_2024_12.csv,2024-12-01,2024,12,,37,37,0,109,11,NGO COLONY,37,37
R111,tankers_reports_2024_12.csv,2024-12-01,2024,12,,68,68,0,110,11,VANASTHALIPURAM,68,68
R112,tankers_reports_2024_12.csv,2024-12-01,2024,12,,13,13,0,111,12,ADARSHNAGAR,13,13
R113,tankers_reports_2024_12.csv,2024-12-01,2024,12,,12,12,0,112,12,Bhagatsingh Nagar,12,12
R114,tankers_reports_2024_12.csv,2024-12-01,2024,12,,38,38,0,113,12,CHINTAL,38,38
R115,tankers_reports_2024_12.csv,2024-12-01,2024,12,,189,189,0,114,12,GAJULARAMARAM,189,189
R116,tankers_reports_2024_12.csv,2024-12-01,2024,12,,57,57,0,115,12,JEEDIMETLA,57,57
R117,tankers_reports_2024_12.csv,2024-12-01,2024,12,,45,45,0,116,12,Jagathgirigutta,45,45
R118,tankers_reports_2024_12.csv,2024-12-01,2024,12,,163,163,0,117,12,SHAPOORNAGAR,163,163
R119,tankers_reports_2024_12.csv,2024-12-01,2024,12,,85,85,0,118,12,SURARAM,85,85
R120,tankers_reports_2024_12.csv,2024-12-01,2024,12,,49,49,0,119,12,USHODAYA,49,49
R121,tankers_reports_2024_12.csv,2024-12-01,2024,12,,155,155,0,120,12,suchitra,155,155
R122,tankers_reports_2024_12.csv,2024-12-01,2024,12,,34,34,0,121,13,ALWAL (Div13),34,34
R123,tankers_reports_2024_12.csv,2024-12-01,2024,12,,231,231,0,122,13,CHANUKYAPURI,231,231
R124,tankers_reports_2024_12.csv,2024-12-01,2024,12,,118,118,0,123,13,DEFENCE COLONY,118,118
R125,tankers_reports_2024_12.csv,2024-12-01,2024,12,,297,297,0,124,13,FATHER BALAIAHNAGAR (Div13),297,297
R126,tankers_reports_2024_12.csv,2024-12-01,2024,12,,231,231,0,125,13,GOWTHAM NAGAR,231,231
R127,tankers_reports_2024_12.csv,2024-12-01,2024,12,,84,84,0,126,13,MACHABOLLARAM,84,84
R128,tankers_reports_2024_12.csv,2024-12-01,2024,12,,204,204,0,127,13,SAINATHPURAM,204,204
R129,tankers_reports_2024_12.csv,2024-12-01,2024,12,,73,73,0,128,13,VAJPAYEE NAGAR,73,73
R130,tankers_reports_2024_12.csv,2024-12-01,2024,12,,78,78,0,129,13,VENKATAPURAM,78,78
R131,tankers_reports_2024_12.csv,2024-12-01,2024,12,,143,143,0,130,13,YAPRAL (Div13),143,143
R132,tankers_reports_2024_12.csv,2024-12-01,2024,12,,16,16,0,131,14,CHERLAPALLY,16,16
R133,tankers_reports_2024_12.csv,2024-12-01,2024,12,,34,34,0,132,14,HOUSING BOARD,34,34
R134,tankers_reports_2024_12.csv,2024-12-01,2024,12,,182,182,0,133,14,HUBSIGUDA,182,182
R135,tankers_reports_2024_12.csv,2024-12-01,2024,12,,80,80,0,134,14,NACHARAM,80,80
R136,tankers_reports_2024_12.csv,2024-12-01,2024,12,,105,105,0,135,14,RADHIKA,105,105
R137,tankers_reports_2024_12.csv,2024-12-01,2024,12,,69,69,0,136,14,RAMANTHAPUR(DIV 14),69,69
R138,tankers_reports_2024_12.csv,2024-12-01,2024,12,,66,66,0,137,14,SAIBABA NAGAR,66,66
R139,tankers_reports_2024_12.csv,2024-12-01,2024,12,,47,47,0,138,14,UPPAL,47,47
R140,tankers_reports_2024_12.csv,2024-12-01,2024,12,,781,781,0,139,15,Doyens section,781,781
R141,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1498,1498,0,140,15,GACHIBOWLI (DIV 15),1498,1498
R142,tankers_reports_2024_12.csv,2024-12-01,2024,12,,8077,8077,0,141,15,KONDAPUR (DIV 15),8077,8077
R143,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3996,3996,0,142,15,MADHAPUR -1,3996,3996
R144,tankers_reports_2024_12.csv,2024-12-01,2024,12,,5489,5489,0,143,15,MADHAPUR -2,5489,5489
R145,tankers_reports_2024_12.csv,2024-12-01,2024,12,,17,17,0,144,15,NALLAGANDLA (DIV 15),17,17
R146,tankers_reports_2024_12.csv,2024-12-01,2024,12,,141,141,0,145,16,ATTAPUR,141,141
R147,tankers_reports_2024_12.csv,2024-12-01,2024,12,,146,146,0,146,16,BUDVEL (DIV16),146,146
R148,tankers_reports_2024_12.csv,2024-12-01,2024,12,,620,620,0,147,16,HYDERGUDA,620,620
R149,tankers_reports_2024_12.csv,2024-12-01,2024,12,,7,7,0,148,16,KATEDAN,7,7
R150,tankers_reports_2024_12.csv,2024-12-01,2024,12,,33,33,0,149,16,MAILERDEV PALLY,33,33
R151,tankers_reports_2024_12.csv,2024-12-01,2024,12,,87,87,0,150,16,SULEMAN NAGAR,87,87
R152,tankers_reports_2024_12.csv,2024-12-01,2024,12,,359,359,0,151,17,CHANDA NAGAR,359,359
R153,tankers_reports_2024_12.csv,2024-12-01,2024,12,,343,343,0,152,17,DEEPTHISRI NAGAR,343,343
R154,tankers_reports_2024_12.csv,2024-12-01,2024,12,,4654,4654,0,153,17,HAFEEZPET,4654,4654
R155,tankers_reports_2024_12.csv,2024-12-01,2024,12,,359,359,0,154,17,MIYAPUR,359,359
R156,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,155,17,PATANCHERU,2,2
R157,tankers_reports_2024_12.csv,2024-12-01,2024,12,,5,5,0,156,17,RAMACHANDRAPURAM,5,5
R158,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1649,1649,0,157,18,KISMATHPUR (DIV 18),1649,1649
R159,tankers_reports_2024_12.csv,2024-12-01,2024,12,,4001,4001,0,158,18,MANIKONDA (DIV 18),4001,4001
R160,tankers_reports_2024_12.csv,2024-12-01,2024,12,,81,81,0,159,19,BODUPPAL (DIV 19),81,81
R161,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,160,19,PEDDA AMBERPET (PD 1),1,1
R162,tankers_reports_2024_12.csv,2024-12-01,2024,12,,191,191,0,161,19,PEERJADIGUDA (DIV 19),191,191
R163,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,162,19,POCHARAM (DIV 19),2,2
R164,tankers_reports_2024_12.csv,2024-12-01,2024,12,,9,9,0,163,20,BADANGPET  (DIV 20),9,9
R165,tankers_reports_2024_12.csv,2024-12-01,2024,12,,16,16,0,164,20,JILLELAGUDA (DIV 20),16,16
R166,tankers_reports_2024_12.csv,2024-12-01,2024,12,,72,72,0,165,20,MEERPET (DIV 20),72,72
R167,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,166,20,TURKAYAMJAL (PD 1),1,1
R168,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,167,21,DAMMAIGUDA,1,1
R169,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3,3,0,168,21,JAWAHARNAGAR (PD 3),3,3
R170,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,169,21,KOMPALLY (PD 7),2,2
R171,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3,3,0,170,21,NAGARAM,3,3
R172,tankers_reports_2024_12.csv,2024-12-01,2024,12,,32,32,0,171,22,AMEENPUR (PD 8),32,32
R173,tankers_reports_2024_12.csv,2024-12-01,2024,12,,282,282,0,172,22,BACHUPALLY (PD 7),282,282
R174,tankers_reports_2024_12.csv,2024-12-01,2024,12,,5,5,0,173,22,BEERAMGUDA (PD 8),5,5
R175,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,174,22,BOLLARAM (PD 8),1,1
R176,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,175,22,GANDIMAISAMMA (PD 7),2,2
R177,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2295,2295,0,176,22,NIZAMPET (PD 7),2295,2295
R178,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3248,3248,0,177,22,PRAGATHINAGAR (PD 7),3248,3248
R179,tankers_reports_2024_3.csv,2024-03-01,2024,3,,7,7,0,178,1,BAHADURPURA,7,7
R180,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2,2,0,179,1,CHANUDLAL BHARADARI,2,2
R181,tankers_reports_2024_3.csv,2024-03-01,2024,3,,3,3,0,180,1,DARUL SHIFA,3,3
R182,tankers_reports_2024_3.csv,2024-03-01,2024,3,,3,3,0,181,1,DHOOD BOWLI,3,3
R183,tankers_reports_2024_3.csv,2024-03-01,2024,3,,8,8,0,182,1,KISHAN BAGH,8,8
R184,tankers_reports_2024_3.csv,2024-03-01,2024,3,,3,3,0,183,1,M.R.G.FILTERS,3,3
R185,tankers_reports_2024_3.csv,2024-03-01,2024,3,,1,1,0,184,1,MISRIGUNJ,1,1
R186,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2,2,0,185,1,MOGHULPURA,2,2
R187,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2,2,0,186,1,PATHERGATTI,2,2
R188,tankers_reports_2024_3.csv,2024-03-01,2024,3,,6,6,0,187,1,VATTEPALLY,6,6
R189,tankers_reports_2024_3.csv,2024-03-01,2024,3,,94,94,0,188,2,ASMANGARH,94,94
R190,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2,2,0,189,2,AZAMPURA,2,2
R191,tankers_reports_2024_3.csv,2024-03-01,2024,3,,44,44,0,190,2,CHANCHALGUDA,44,44
R192,tankers_reports_2024_3.csv,2024-03-01,2024,3,,2,2,0,191,2,MADANNAPET,2,2
