year,month,division,section,noofbookings,delivered,_source_file,date,month_iso
2024,12,12,Bhagatsingh Nagar,12,12,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,CHINTAL,38,38,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,GAJULARAMARAM,189,189,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,JEEDIMETLA,57,57,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,Jagathgirigutta,45,45,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,SHAPOORNAGAR,163,163,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,SURARAM,85,85,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,USHODAYA,49,49,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,suchitra,155,155,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,ALWAL (Div13),34,34,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,CHANUKYAPURI,231,231,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,DEFENCE COLONY,118,118,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,FATHER BALAIAHNAGAR (Div13),297,297,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,GOWTHAM NAGAR,231,231,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,MACHABOLLARAM,84,84,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,SAINATHPURAM,204,204,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,VAJPAYEE NAGAR,73,73,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,VENKATAPURAM,78,78,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,13,YAPRAL (Div13),143,143,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,CHERLAPALLY,16,16,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,HOUSING BOARD,34,34,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,HUBSIGUDA,182,182,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,NACHARAM,80,80,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,RADHIKA,105,105,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,14,RAMANTHAPUR(DIV 14),69,69,tankers_reports_2024_12.csv,2024-12-01,2024-12
